iso_code,continent,location,date,day,total_cases
USA,North America,United States,2020-02-21,31,16
USA,North America,United States,2020-02-22,32,16
USA,North America,United States,2020-02-23,33,16
USA,North America,United States,2020-02-24,34,16
USA,North America,United States,2020-02-25,35,16
USA,North America,United States,2020-02-26,36,16
USA,North America,United States,2020-02-27,37,17
USA,North America,United States,2020-02-28,38,17
USA,North America,United States,2020-02-29,39,25
USA,North America,United States,2020-03-01,40,32
USA,North America,United States,2020-03-02,41,55
USA,North America,United States,2020-03-03,42,74
USA,North America,United States,2020-03-04,43,107
USA,North America,United States,2020-03-05,44,184
USA,North America,United States,2020-03-06,45,237
USA,North America,United States,2020-03-07,46,403
USA,North America,United States,2020-03-08,47,519
USA,North America,United States,2020-03-09,48,594
USA,North America,United States,2020-03-10,49,782
USA,North America,United States,2020-03-11,50,1147
USA,North America,United States,2020-03-12,51,1586
USA,North America,United States,2020-03-13,52,2219
USA,North America,United States,2020-03-14,53,2978
USA,North America,United States,2020-03-15,54,3212
USA,North America,United States,2020-03-16,55,4679
USA,North America,United States,2020-03-17,56,6512
USA,North America,United States,2020-03-18,57,9169
USA,North America,United States,2020-03-19,58,13663
USA,North America,United States,2020-03-20,59,20030
USA,North America,United States,2020-03-21,60,26025
